Time,bitcoin.co.id,bitfinex,bitflyer,bitstamp,cex.io,coinbase,exmo,hitbtc,kraken,others
2018-02-06 16:20:00 UTC,16.0,23.0,32.0,11.0,29.0,72.0,10.0,3.0,17.0,19.0
2018-02-06 16:21:00 UTC,33.0,273.0,235.0,113.0,84.0,348.0,26.0,27.0,97.0,138.0
2018-02-06 16:22:00 UTC,45.0,313.0,249.0,192.0,53.0,367.0,82.0,43.0,187.0,115.0
2018-02-06 16:23:00 UTC,34.0,252.0,174.0,103.0,20.0,327.0,62.0,24.0,155.0,95.0
2018-02-06 16:24:00 UTC,12.0,192.0,209.0,87.0,71.0,145.0,32.0,24.0,132.0,78.0
2018-02-06 16:25:00 UTC,27.0,193.0,149.0,116.0,12.0,192.0,24.0,13.0,128.0,77.0
2018-02-06 16:26:00 UTC,26.0,360.0,248.0,124.0,56.0,190.0,56.0,36.0,174.0,104.0
2018-02-06 16:27:00 UTC,36.0,146.0,178.0,48.0,47.0,145.0,60.0,36.0,100.0,100.0
2018-02-06 16:28:00 UTC,18.0,259.0,202.0,68.0,21.0,255.0,38.0,27.0,91.0,102.0
2018-02-06 16:29:00 UTC,52.0,214.0,182.0,60.0,17.0,191.0,47.0,21.0,125.0,136.0
2018-02-06 16:30:00 UTC,11.0,136.0,114.0,95.0,66.0,250.0,75.0,29.0,125.0,145.0
2018-02-06 16:31:00 UTC,31.0,172.0,202.0,49.0,11.0,211.0,75.0,27.0,138.0,96.0
2018-02-06 16:32:00 UTC,14.0,182.0,149.0,95.0,46.0,115.0,91.0,34.0,139.0,137.0
2018-02-06 16:33:00 UTC,83.0,300.0,204.0,172.0,33.0,292.0,72.0,30.0,254.0,115.0
2018-02-06 16:34:00 UTC,66.0,253.0,299.0,118.0,91.0,210.0,84.0,55.0,203.0,187.0
2018-02-06 16:35:00 UTC,29.0,213.0,267.0,64.0,12.0,206.0,51.0,24.0,127.0,114.0
2018-02-06 16:36:00 UTC,85.0,159.0,219.0,97.0,25.0,276.0,39.0,43.0,167.0,138.0
2018-02-06 16:37:00 UTC,72.0,499.0,265.0,231.0,82.0,423.0,76.0,55.0,340.0,212.0
2018-02-06 16:38:00 UTC,86.0,385.0,325.0,265.0,83.0,350.0,90.0,42.0,226.0,267.0
2018-02-06 16:39:00 UTC,27.0,269.0,215.0,118.0,50.0,311.0,32.0,55.0,146.0,161.0
2018-02-06 16:40:00 UTC,22.0,197.0,161.0,119.0,56.0,315.0,67.0,25.0,158.0,148.0
2018-02-06 16:41:00 UTC,36.0,245.0,151.0,167.0,39.0,237.0,71.0,55.0,113.0,130.0
2018-02-06 16:42:00 UTC,56.0,276.0,185.0,90.0,74.0,300.0,64.0,51.0,172.0,161.0
2018-02-06 16:43:00 UTC,19.0,130.0,169.0,80.0,17.0,308.0,84.0,30.0,114.0,89.0
2018-02-06 16:44:00 UTC,17.0,256.0,180.0,147.0,74.0,335.0,68.0,41.0,126.0,114.0
2018-02-06 16:45:00 UTC,43.0,256.0,106.0,126.0,39.0,289.0,54.0,40.0,133.0,148.0
2018-02-06 16:46:00 UTC,41.0,226.0,172.0,39.0,73.0,390.0,27.0,26.0,109.0,102.0
2018-02-06 16:47:00 UTC,24.0,171.0,200.0,94.0,81.0,208.0,34.0,31.0,133.0,103.0
2018-02-06 16:48:00 UTC,52.0,149.0,129.0,61.0,121.0,191.0,34.0,11.0,115.0,82.0
2018-02-06 16:49:00 UTC,23.0,180.0,107.0,79.0,63.0,251.0,53.0,35.0,127.0,106.0
2018-02-06 16:50:00 UTC,8.0,181.0,298.0,80.0,37.0,239.0,42.0,43.0,135.0,115.0
2018-02-06 16:51:00 UTC,16.0,185.0,206.0,131.0,106.0,312.0,11.0,40.0,169.0,160.0
2018-02-06 16:52:00 UTC,26.0,187.0,242.0,96.0,74.0,454.0,138.0,38.0,123.0,136.0
2018-02-06 16:53:00 UTC,24.0,291.0,224.0,135.0,102.0,375.0,122.0,44.0,194.0,151.0
2018-02-06 16:54:00 UTC,61.0,254.0,192.0,114.0,56.0,279.0,59.0,22.0,144.0,93.0
2018-02-06 16:55:00 UTC,28.0,194.0,189.0,99.0,38.0,250.0,43.0,32.0,130.0,92.0
2018-02-06 16:56:00 UTC,30.0,173.0,124.0,57.0,27.0,179.0,77.0,20.0,105.0,128.0
2018-02-06 16:57:00 UTC,6.0,113.0,127.0,50.0,8.0,167.0,43.0,8.0,73.0,92.0
2018-02-06 16:58:00 UTC,27.0,126.0,125.0,44.0,8.0,206.0,37.0,25.0,120.0,84.0
2018-02-06 16:59:00 UTC,23.0,122.0,89.0,32.0,42.0,155.0,82.0,10.0,110.0,79.0
2018-02-06 17:00:00 UTC,37.0,216.0,165.0,57.0,25.0,242.0,33.0,23.0,109.0,107.0
