Time,bitfinex,bitflyer,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,kraken,others
2018-02-05 18:58:00 UTC,6.0,,2.0,,9.0,13.0,2.0,,2.0,4.0
2018-02-05 18:59:00 UTC,474.0,84.0,189.0,26.0,288.0,75.0,87.0,83.0,203.0,116.0
2018-02-05 19:00:00 UTC,490.0,4.0,161.0,76.0,396.0,28.0,94.0,73.0,295.0,114.0
2018-02-05 19:01:00 UTC,241.0,,133.0,55.0,320.0,52.0,63.0,38.0,226.0,120.0
2018-02-05 19:02:00 UTC,175.0,,105.0,13.0,223.0,56.0,38.0,36.0,178.0,121.0
2018-02-05 19:03:00 UTC,381.0,,178.0,55.0,260.0,30.0,62.0,46.0,141.0,205.0
2018-02-05 19:04:00 UTC,470.0,,148.0,106.0,402.0,43.0,22.0,31.0,164.0,173.0
2018-02-05 19:05:00 UTC,370.0,,180.0,83.0,309.0,43.0,67.0,40.0,302.0,187.0
2018-02-05 19:06:00 UTC,299.0,,276.0,12.0,455.0,36.0,28.0,15.0,366.0,134.0
2018-02-05 19:07:00 UTC,259.0,,113.0,17.0,333.0,19.0,21.0,14.0,193.0,188.0
2018-02-05 19:08:00 UTC,478.0,,160.0,52.0,446.0,35.0,42.0,34.0,335.0,172.0
2018-02-05 19:09:00 UTC,338.0,,229.0,115.0,470.0,41.0,81.0,37.0,329.0,191.0
2018-02-05 19:10:00 UTC,300.0,,161.0,26.0,571.0,51.0,77.0,59.0,239.0,200.0
2018-02-05 19:11:00 UTC,324.0,,206.0,51.0,448.0,72.0,72.0,30.0,279.0,213.0
2018-02-05 19:12:00 UTC,239.0,211.0,189.0,84.0,403.0,76.0,45.0,31.0,235.0,170.0
2018-02-05 19:13:00 UTC,458.0,117.0,188.0,40.0,421.0,33.0,33.0,51.0,248.0,113.0
2018-02-05 19:14:00 UTC,179.0,92.0,145.0,25.0,279.0,15.0,24.0,21.0,225.0,145.0
2018-02-05 19:15:00 UTC,254.0,116.0,131.0,19.0,244.0,47.0,44.0,26.0,203.0,215.0
2018-02-05 19:16:00 UTC,269.0,120.0,178.0,68.0,359.0,44.0,64.0,13.0,223.0,155.0
2018-02-05 19:17:00 UTC,239.0,147.0,176.0,38.0,442.0,37.0,26.0,12.0,183.0,226.0
2018-02-05 19:18:00 UTC,230.0,89.0,114.0,31.0,234.0,34.0,20.0,19.0,129.0,179.0
2018-02-05 19:19:00 UTC,346.0,103.0,114.0,28.0,302.0,21.0,25.0,15.0,153.0,138.0
2018-02-05 19:20:00 UTC,163.0,109.0,79.0,54.0,348.0,16.0,64.0,16.0,92.0,97.0
2018-02-05 19:21:00 UTC,306.0,97.0,148.0,55.0,378.0,16.0,67.0,20.0,157.0,127.0
2018-02-05 19:22:00 UTC,484.0,186.0,220.0,161.0,722.0,111.0,188.0,68.0,597.0,202.0
2018-02-05 19:23:00 UTC,554.0,288.0,374.0,67.0,964.0,104.0,42.0,48.0,425.0,197.0
2018-02-05 19:24:00 UTC,497.0,148.0,233.0,79.0,683.0,46.0,42.0,53.0,359.0,208.0
2018-02-05 19:25:00 UTC,438.0,114.0,220.0,42.0,574.0,51.0,37.0,50.0,220.0,144.0
2018-02-05 19:26:00 UTC,341.0,169.0,256.0,74.0,523.0,36.0,123.0,58.0,313.0,119.0
2018-02-05 19:27:00 UTC,550.0,128.0,258.0,81.0,736.0,60.0,55.0,114.0,358.0,153.0
2018-02-05 19:28:00 UTC,378.0,73.0,216.0,58.0,530.0,47.0,43.0,114.0,228.0,88.0
2018-02-05 19:29:00 UTC,263.0,95.0,163.0,29.0,617.0,35.0,47.0,43.0,194.0,71.0
